campaign_id,check_id,protocol_version,screen_or_route,category,procedure_reference,expected_result_reference,observed_result,result_status,evidence_reference,notes
CLH-ACC-001,A-14,1.0,Grounded Chat,labels_validation,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-14,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-14,User reported the frozen A-14 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH2,
CLH-ACC-001,A-15,1.0,Settings/Gemini,labels_validation,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-15,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-15,User reported the frozen A-15 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH2,
CLH-ACC-001,A-16,1.0,Resume or Learning AI operation,status_feedback,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-16,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-16,User reported the frozen A-16 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH2,
CLH-ACC-001,A-17,1.0,Representative validation state,status_feedback,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-17,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-17,User reported the frozen A-17 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH2,
CLH-ACC-001,A-18,1.0,Resume or Interview save,status_feedback,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-18,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-18,User reported the frozen A-18 procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH2,
CLH-ACC-001,A-19,1.0,Authentication,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-19,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-19,User reported the frozen A-19 procedure passed at 200% Chrome zoom.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH3,
CLH-ACC-001,A-20,1.0,Application shell,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-20,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-20,User reported the frozen A-20 procedure passed at 200% Chrome zoom.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH3,
CLH-ACC-001,A-21,1.0,Resume Studio,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-21,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-21,User reported the frozen A-21 procedure passed at 200% Chrome zoom.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH3,
CLH-ACC-001,A-22,1.0,Interview Coach,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-22,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-22,User reported the frozen A-22 procedure passed at 200% Chrome zoom.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH3,
CLH-ACC-001,A-23,1.0,Learning Workspace,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-23,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-23,User reported the frozen A-23 procedure passed at 200% Chrome zoom.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH3,
CLH-ACC-001,A-24,1.0,Settings/Gemini,zoom_200,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-24,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-24,User reported the frozen A-24 procedure passed at 200% Chrome zoom.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH3,
CLH-ACC-001,A-25,1.0,Authenticated navigation,reduced_width,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-25,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-25,User reported the frozen A-25 reduced-width procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH4,
CLH-ACC-001,A-26,1.0,Resume Studio,reduced_width,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-26,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-26,User reported the frozen A-26 reduced-width procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH4,
CLH-ACC-001,A-27,1.0,Interview Coach,reduced_width,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-27,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-27,User reported the frozen A-27 reduced-width procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH4,
CLH-ACC-001,A-28,1.0,Learning Workspace,reduced_width,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-28,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-28,User reported the frozen A-28 reduced-width procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH4,
CLH-ACC-001,A-29,1.0,Settings/Gemini,reduced_width,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-29,ACCESSIBILITY_EVALUATION_PROTOCOL.md#A-29,User reported the frozen A-29 reduced-width procedure passed.,PASS,USER_LOCAL_OBSERVATION_2026-08-17_BATCH4,
